Inicio_exclusivo,Fecha,Dias_intervalo,Observado_Unidades,EE_repeticiones_Unidades,Sigma_ajuste_Unidades,Base_Unidades_ajuste,Calibrado_Unidades_ajuste,Fraccion_base_intervalo,Fraccion_calibrada_intervalo
2026-02-01,2026-02-21,20,2213.333333333333,,221.33333333333331,1283.3108651828761,2014.499479873387,0.3401000526103029,0.5338779540300496
2026-02-21,2026-03-01,8,0.0,,221.33333333333331,625.2317364576575,390.9696688569221,0.1656974566583898,0.10361386983840692
2026-03-01,2026-03-20,19,106.66666666666669,,221.33333333333331,327.01542162999755,184.95622094824134,0.08666486438957532,0.04901666632903923
2026-03-20,2026-04-04,15,1360.0,,221.33333333333331,1361.4271556104486,878.8882374336871,0.36080224972008357,0.23292091098065915
2026-04-04,2026-04-17,13,0.0,,221.33333333333331,152.53337201400916,214.03368445151514,0.040424038519613736,0.05672270789351108
2026-04-17,2026-05-01,14,33.33333333333333,,221.33333333333331,15.684286705814095,43.59373566388297,0.004156613084579708,0.011553110158272872
2026-05-01,2026-05-16,15,0.0,,221.33333333333331,4.490706417940707,18.202771405539128,0.001190116541857078,0.00482405602620295
2026-05-16,2026-06-01,16,33.33333333333333,,221.33333333333331,2.0874626998808783e-05,0.00010038604236613698,5.5321449643486176e-09,2.66040748320151e-08
2026-06-01,2026-06-15,14,20.0,,221.33333333333331,2.5734570324851593,15.055346650029225,0.0006820115810473037,0.003989932857781597
2026-06-15,2026-07-01,16,6.666666666666667,,221.33333333333331,1.0663109343475576,13.132677491134748,0.000282591237017904,0.003480391561254792
2026-07-01,2026-07-15,14,0.0,,221.33333333333331,4.731295888404929e-07,0.0014101729520721305,1.2538770022274548e-10,3.7372074701558233e-07
